table_name,column_name,dtype,description
clean_olympic_events,athlete_id,int64,
clean_olympic_events,athlete_name,object,
clean_olympic_events,sex,object,"Event sex category: men, women, mixed, or unknown."
clean_olympic_events,age,float64,
clean_olympic_events,height,float64,
clean_olympic_events,weight,float64,
clean_olympic_events,team,object,
clean_olympic_events,noc,object,Olympic NOC code.
clean_olympic_events,games,float64,
clean_olympic_events,year,Int64,Olympic year.
clean_olympic_events,season,object,Olympic season. P0 standard output uses Summer.
clean_olympic_events,city,object,Host city name as recorded in Olympic event data.
clean_olympic_events,sport,object,Olympic sport.
clean_olympic_events,event,object,Olympic event.
clean_olympic_events,medal,object,"Gold, Silver, Bronze, or No medal."
clean_olympic_events,source,object,
clean_olympic_events,country_from_noc,object,
clean_olympic_events,country_name,object,Standardized country or team display name.
clean_olympic_events,iso3,object,ISO3-like country code used for joining external economic and population data.
clean_olympic_events,is_medal,int64,
clean_olympic_events,is_gold,int64,
clean_olympic_events,medal_score,int64,
clean_athlete_events_summer,athlete_id,int64,
clean_athlete_events_summer,athlete_name,object,
clean_athlete_events_summer,sex,object,"Event sex category: men, women, mixed, or unknown."
clean_athlete_events_summer,age,float64,
clean_athlete_events_summer,height,float64,
clean_athlete_events_summer,weight,float64,
clean_athlete_events_summer,team,object,
clean_athlete_events_summer,noc,object,Olympic NOC code.
clean_athlete_events_summer,games,object,
clean_athlete_events_summer,year,Int64,Olympic year.
clean_athlete_events_summer,season,object,Olympic season. P0 standard output uses Summer.
clean_athlete_events_summer,city,object,Host city name as recorded in Olympic event data.
clean_athlete_events_summer,sport,object,Olympic sport.
clean_athlete_events_summer,event,object,Olympic event.
clean_athlete_events_summer,medal,object,"Gold, Silver, Bronze, or No medal."
clean_athlete_events_summer,source,object,
clean_athlete_events_summer,country_from_noc,object,
clean_athlete_events_summer,country_name,object,Standardized country or team display name.
clean_athlete_events_summer,iso3,object,ISO3-like country code used for joining external economic and population data.
clean_athlete_events_summer,is_medal,int64,
clean_athlete_events_summer,is_gold,int64,
clean_athlete_events_summer,medal_score,int64,
official_event_medals,athlete_id,int64,
official_event_medals,athlete_name,object,
official_event_medals,sex,object,"Event sex category: men, women, mixed, or unknown."
official_event_medals,age,float64,
official_event_medals,height,float64,
official_event_medals,weight,float64,
official_event_medals,team,object,
official_event_medals,noc,object,Olympic NOC code.
official_event_medals,games,float64,
official_event_medals,year,Int64,Olympic year.
official_event_medals,season,object,Olympic season. P0 standard output uses Summer.
official_event_medals,city,object,Host city name as recorded in Olympic event data.
official_event_medals,sport,object,Olympic sport.
official_event_medals,event,object,Olympic event.
official_event_medals,medal,object,"Gold, Silver, Bronze, or No medal."
official_event_medals,source,object,
official_event_medals,country_from_noc,object,
official_event_medals,country_name,object,Standardized country or team display name.
official_event_medals,iso3,object,ISO3-like country code used for joining external economic and population data.
official_event_medals,is_medal,int64,
official_event_medals,is_gold,int64,
official_event_medals,medal_score,int64,
medal_unique_event_country,athlete_id,int64,
medal_unique_event_country,athlete_name,object,
medal_unique_event_country,sex,object,"Event sex category: men, women, mixed, or unknown."
medal_unique_event_country,age,float64,
medal_unique_event_country,height,float64,
medal_unique_event_country,weight,float64,
medal_unique_event_country,team,object,
medal_unique_event_country,noc,object,Olympic NOC code.
medal_unique_event_country,games,float64,
medal_unique_event_country,year,Int64,Olympic year.
medal_unique_event_country,season,object,Olympic season. P0 standard output uses Summer.
medal_unique_event_country,city,object,Host city name as recorded in Olympic event data.
medal_unique_event_country,sport,object,Olympic sport.
medal_unique_event_country,event,object,Olympic event.
medal_unique_event_country,medal,object,"Gold, Silver, Bronze, or No medal."
medal_unique_event_country,source,object,
medal_unique_event_country,country_from_noc,object,
medal_unique_event_country,country_name,object,Standardized country or team display name.
medal_unique_event_country,iso3,object,ISO3-like country code used for joining external economic and population data.
medal_unique_event_country,is_medal,int64,
medal_unique_event_country,is_gold,int64,
medal_unique_event_country,medal_score,int64,
olympic_timeline,year,int64,Olympic year.
olympic_timeline,season,object,Olympic season. P0 standard output uses Summer.
country_year_medals,year,Int64,Olympic year.
country_year_medals,season,object,Olympic season. P0 standard output uses Summer.
country_year_medals,noc,object,Olympic NOC code.
country_year_medals,iso3,object,ISO3-like country code used for joining external economic and population data.
country_year_medals,country_name,object,Standardized country or team display name.
country_year_medals,total_medals,int64,Gold + Silver + Bronze medal count after team-event deduplication where applicable.
country_year_medals,gold_medals,int64,Gold medal count.
country_year_medals,silver_medals,int64,Silver medal count.
country_year_medals,bronze_medals,int64,Bronze medal count.
country_year_medals,weighted_medal_score,int64,3 * gold + 2 * silver + bronze.
country_year_medals,gold_share,float64,Gold medals divided by total medals.
country_year_medals,rank_total_medals,float64,
country_year_medals,rank_gold_medals,float64,
country_year_medals,athlete_event_entries,int64,
country_year_medals,unique_athletes,int64,
country_year_medals,sports_entered,int64,Count of sports a country entered in that Olympic year.
country_year_medals,events_entered,int64,
country_year_medals,prev_total_medals,float64,
country_year_medals,medal_growth_prev_games,float64,
country_year_medals,medal_growth_rate_prev_games,float64,
country_year_medals,rolling_3_games_medals,float64,
country_year_medals,country_first_medal_year,Int64,
country_year_medals,is_country_first_medal_year,int64,
country_year_medals,country_sport_hhi,float64,HHI of a country's medals across sports in a year.
country_year_medals,medal_sport_entropy,float64,
country_year_medals,medal_sports,int64,
country_year_medals,female_athletes,float64,
country_year_medals,male_athletes,float64,
country_year_medals,female_athlete_share,float64,Female athletes divided by female plus male athletes.
country_sport_year_medals,year,Int64,Olympic year.
country_sport_year_medals,season,object,Olympic season. P0 standard output uses Summer.
country_sport_year_medals,noc,object,Olympic NOC code.
country_sport_year_medals,iso3,object,ISO3-like country code used for joining external economic and population data.
country_sport_year_medals,country_name,object,Standardized country or team display name.
country_sport_year_medals,sport,object,Olympic sport.
country_sport_year_medals,total_medals,int64,Gold + Silver + Bronze medal count after team-event deduplication where applicable.
country_sport_year_medals,gold_medals,int64,Gold medal count.
country_sport_year_medals,silver_medals,int64,Silver medal count.
country_sport_year_medals,bronze_medals,int64,Bronze medal count.
country_sport_year_medals,weighted_medal_score,int64,3 * gold + 2 * silver + bronze.
country_sport_year_medals,events_with_medals,int64,
country_sport_year_medals,gold_share,float64,Gold medals divided by total medals.
country_sport_year_medals,country_year_total_medals,int64,
country_sport_year_medals,sport_contribution_share,float64,
sport_year_country_share,year,Int64,Olympic year.
sport_year_country_share,season,object,Olympic season. P0 standard output uses Summer.
sport_year_country_share,sport,object,Olympic sport.
sport_year_country_share,noc,object,Olympic NOC code.
sport_year_country_share,iso3,object,ISO3-like country code used for joining external economic and population data.
sport_year_country_share,country_name,object,Standardized country or team display name.
sport_year_country_share,total_medals,int64,Gold + Silver + Bronze medal count after team-event deduplication where applicable.
sport_year_country_share,gold_medals,int64,Gold medal count.
sport_year_country_share,silver_medals,int64,Silver medal count.
sport_year_country_share,bronze_medals,int64,Bronze medal count.
sport_year_country_share,sport_year_total_medals,int64,
sport_year_country_share,sport_year_gold_medals,int64,
sport_year_country_share,country_medal_share_in_sport,float64,
sport_year_country_share,country_gold_share_in_sport,float64,
sport_year_country_share,sport_country_rank,float64,
sport_year_country_share,sport_country_hhi,float64,HHI of a sport's medals across countries in a year.
sport_year_country_share,sport_medal_entropy,float64,
athlete_demographics,year,Int64,Olympic year.
athlete_demographics,season,object,Olympic season. P0 standard output uses Summer.
athlete_demographics,noc,object,Olympic NOC code.
athlete_demographics,iso3,object,ISO3-like country code used for joining external economic and population data.
athlete_demographics,country_name,object,Standardized country or team display name.
athlete_demographics,athletes,int64,
athlete_demographics,female_athletes,int64,
athlete_demographics,male_athletes,int64,
athlete_demographics,female_athlete_share,float64,Female athletes divided by female plus male athletes.
athlete_demographics,female_share,float64,Backward-compatible alias for female_athlete_share.
athlete_demographics,avg_age,float64,
athlete_demographics,median_age,float64,
athlete_demographics,avg_height,float64,
athlete_demographics,avg_weight,float64,
athlete_demographics,athlete_event_entries,int64,
athlete_demographics,sports_participated,int64,
athlete_demographics,events_participated,int64,
country_gdp_population_medal_efficiency,year,Int64,Olympic year.
country_gdp_population_medal_efficiency,season,object,Olympic season. P0 standard output uses Summer.
country_gdp_population_medal_efficiency,noc,object,Olympic NOC code.
country_gdp_population_medal_efficiency,iso3,object,ISO3-like country code used for joining external economic and population data.
country_gdp_population_medal_efficiency,country_name,object,Standardized country or team display name.
country_gdp_population_medal_efficiency,total_medals,int64,Gold + Silver + Bronze medal count after team-event deduplication where applicable.
country_gdp_population_medal_efficiency,gold_medals,int64,Gold medal count.
country_gdp_population_medal_efficiency,silver_medals,int64,Silver medal count.
country_gdp_population_medal_efficiency,bronze_medals,int64,Bronze medal count.
country_gdp_population_medal_efficiency,rank_total_medals,float64,
country_gdp_population_medal_efficiency,rank_gold_medals,float64,
country_gdp_population_medal_efficiency,population,float64,Population joined by iso3 and year.
country_gdp_population_medal_efficiency,gdp_total,float64,"Total GDP joined by iso3 and year, using the Penn World Table source where available."
country_gdp_population_medal_efficiency,gdp_per_capita,float64,GDP per capita joined by iso3 and year.
country_gdp_population_medal_efficiency,medals_per_million_people,float64,Total medals per one million people.
country_gdp_population_medal_efficiency,gold_per_million_people,float64,Gold medals per one million people.
country_gdp_population_medal_efficiency,medals_per_10b_gdp,float64,Total medals per 10 billion units of GDP.
country_gdp_population_medal_efficiency,gold_per_10b_gdp,float64,Gold medals per 10 billion units of GDP.
country_gdp_population_medal_efficiency,medals_per_100b_gdp,float64,Total medals per 100 billion units of GDP.
country_gdp_population_medal_efficiency,gold_per_100b_gdp,float64,Gold medals per 100 billion units of GDP.
country_gdp_population_medal_efficiency,medals_per_10k_gdp_per_capita,float64,"Total medals per 10,000 units of GDP per capita."
country_gdp_population_medal_efficiency,gold_per_10k_gdp_per_capita,float64,"Gold medals per 10,000 units of GDP per capita."
country_gdp_population_medal_efficiency,sports_entered,int64,Count of sports a country entered in that Olympic year.
country_gdp_population_medal_efficiency,events_entered,int64,
country_gdp_population_medal_efficiency,unique_athletes,int64,
country_economic_efficiency,year,Int64,Olympic year.
country_economic_efficiency,season,object,Olympic season. P0 standard output uses Summer.
country_economic_efficiency,noc,object,Olympic NOC code.
country_economic_efficiency,iso3,object,ISO3-like country code used for joining external economic and population data.
country_economic_efficiency,country_name,object,Standardized country or team display name.
country_economic_efficiency,total_medals,int64,Gold + Silver + Bronze medal count after team-event deduplication where applicable.
country_economic_efficiency,gold_medals,int64,Gold medal count.
country_economic_efficiency,silver_medals,int64,Silver medal count.
country_economic_efficiency,bronze_medals,int64,Bronze medal count.
country_economic_efficiency,population,float64,Population joined by iso3 and year.
country_economic_efficiency,gdp_per_capita,float64,GDP per capita joined by iso3 and year.
country_economic_efficiency,gdp_total,float64,"Total GDP joined by iso3 and year, using the Penn World Table source where available."
country_economic_efficiency,medals_per_million_people,float64,Total medals per one million people.
country_economic_efficiency,gold_per_million_people,float64,Gold medals per one million people.
country_economic_efficiency,medals_per_10k_gdp_per_capita,float64,"Total medals per 10,000 units of GDP per capita."
country_economic_efficiency,gold_per_10k_gdp_per_capita,float64,"Gold medals per 10,000 units of GDP per capita."
country_economic_efficiency,medals_per_100b_gdp,float64,Total medals per 100 billion units of GDP.
country_economic_efficiency,gold_per_100b_gdp,float64,Gold medals per 100 billion units of GDP.
country_economic_efficiency,sports_entered,int64,Count of sports a country entered in that Olympic year.
country_economic_efficiency,events_entered,int64,
country_economic_efficiency,unique_athletes,int64,
country_economic_efficiency,has_population_match,int64,
country_economic_efficiency,has_gdp_per_capita_match,int64,
country_economic_efficiency,has_gdp_total_match,int64,
country_economic_efficiency,economic_data_complete,int64,
country_expected_vs_actual_medals,year,Int64,Olympic year.
country_expected_vs_actual_medals,noc,object,Olympic NOC code.
country_expected_vs_actual_medals,iso3,object,ISO3-like country code used for joining external economic and population data.
country_expected_vs_actual_medals,country_name,object,Standardized country or team display name.
country_expected_vs_actual_medals,total_medals,int64,Gold + Silver + Bronze medal count after team-event deduplication where applicable.
country_expected_vs_actual_medals,expected_medals,float64,Descriptive baseline medal count from a year-specific economic model.
country_expected_vs_actual_medals,medal_overperformance,float64,Actual medals minus expected medals from the descriptive baseline.
country_expected_vs_actual_medals,gold_medals,int64,Gold medal count.
country_expected_vs_actual_medals,gdp_total,float64,"Total GDP joined by iso3 and year, using the Penn World Table source where available."
country_expected_vs_actual_medals,population,float64,Population joined by iso3 and year.
country_expected_vs_actual_medals,gdp_per_capita,float64,GDP per capita joined by iso3 and year.
country_expected_vs_actual_medals,sports_entered,int64,Count of sports a country entered in that Olympic year.
country_expected_vs_actual_medals,events_entered,int64,
country_expected_vs_actual_medals,model_note,object,Text note describing which expected-medal baseline was used.
country_multi_normalized_efficiency,year,Int64,Olympic year.
country_multi_normalized_efficiency,season,object,Olympic season. P0 standard output uses Summer.
country_multi_normalized_efficiency,noc,object,Olympic NOC code.
country_multi_normalized_efficiency,iso3,object,ISO3-like country code used for joining external economic and population data.
country_multi_normalized_efficiency,country_name,object,Standardized country or team display name.
country_multi_normalized_efficiency,total_medals,int64,Gold + Silver + Bronze medal count after team-event deduplication where applicable.
country_multi_normalized_efficiency,gold_medals,int64,Gold medal count.
country_multi_normalized_efficiency,silver_medals,int64,Silver medal count.
country_multi_normalized_efficiency,bronze_medals,int64,Bronze medal count.
country_multi_normalized_efficiency,weighted_medal_score,int64,3 * gold + 2 * silver + bronze.
country_multi_normalized_efficiency,population,float64,Population joined by iso3 and year.
country_multi_normalized_efficiency,gdp_total,float64,"Total GDP joined by iso3 and year, using the Penn World Table source where available."
country_multi_normalized_efficiency,gdp_per_capita,float64,GDP per capita joined by iso3 and year.
country_multi_normalized_efficiency,unique_athletes,int64,
country_multi_normalized_efficiency,sports_entered,int64,Count of sports a country entered in that Olympic year.
country_multi_normalized_efficiency,events_entered,int64,
country_multi_normalized_efficiency,medals_per_million_people,float64,Total medals per one million people.
country_multi_normalized_efficiency,gold_per_million_people,float64,Gold medals per one million people.
country_multi_normalized_efficiency,medals_per_100_athletes,float64,Total medals per 100 unique athletes.
country_multi_normalized_efficiency,gold_per_100_athletes,float64,Gold medals per 100 unique athletes.
country_multi_normalized_efficiency,medals_per_entered_sport,float64,Total medals divided by number of sports entered.
country_multi_normalized_efficiency,medals_per_entered_event,float64,Total medals divided by number of events entered.
country_multi_normalized_efficiency,weighted_score_per_athlete,float64,Weighted medal score divided by unique athletes.
country_multi_normalized_efficiency,weighted_score_per_entered_sport,float64,Weighted medal score divided by number of sports entered.
country_multi_normalized_efficiency,medals_per_100b_gdp,float64,Total medals per 100 billion units of GDP.
country_multi_normalized_efficiency,gold_per_100b_gdp,float64,Gold medals per 100 billion units of GDP.
country_multi_normalized_efficiency,rank_total_medals,float64,
country_multi_normalized_efficiency,rank_medals_per_million_people,float64,Within-year rank by medals per million people.
country_multi_normalized_efficiency,rank_medals_per_100_athletes,float64,Within-year rank by medals per 100 athletes.
country_multi_normalized_efficiency,rank_medals_per_entered_sport,float64,Within-year rank by medals per entered sport.
country_multi_normalized_efficiency,rank_weighted_score_per_athlete,float64,Within-year rank by weighted score per athlete.
country_multi_normalized_efficiency,small_sample_flag,int64,1 if delegation/event sample is small enough for ratio metrics to be unstable.
country_multi_normalized_efficiency,extreme_single_medal_flag,int64,1 if a one-medal country has very high population- or athlete-normalized ratios.
country_multi_normalized_efficiency,efficiency_label,object,Business-readable country-year label comparing scale and efficiency.
country_multi_normalized_efficiency,efficiency_interpretation_note,object,Caveat note for interpreting multi-normalized efficiency metrics.
country_multi_normalized_efficiency,has_population_match,int64,
country_multi_normalized_efficiency,has_gdp_total_match,int64,
country_multi_normalized_efficiency,economic_data_complete,int64,
host_years,year,int64,Olympic year.
host_years,city,object,Host city name as recorded in Olympic event data.
host_years,host_country,object,Standardized host country name compatible with country_name where possible.
host_years,host_noc,object,Host country NOC code.
host_years,host_noc_compatible,object,Historical NOC code used to match country_year_medals when it differs from host_noc.
host_years,host_continent,object,Host continent from curated host mapping.
host_years,is_home_games,int64,1 if the host NOC appears in country-year medal outputs for that year.
host_years,source_note,object,Source or evidence note for manually curated or derived fields.
host_years,needs_manual_review,int64,1 if a derived mechanism event row should be manually checked.
host_effect_country_sport_panel,host_year,int64,Olympic year in which the country hosted the Summer Games.
host_effect_country_sport_panel,host_country,object,Standardized host country name compatible with country_name where possible.
host_effect_country_sport_panel,host_noc,object,Host country NOC code.
host_effect_country_sport_panel,sport,object,Olympic sport.
host_effect_country_sport_panel,pre_year,float64,Previous observed Summer Olympic year used as the pre-host comparison; blank when unavailable.
host_effect_country_sport_panel,post_year,float64,Next observed Summer Olympic year used as the post-host comparison; blank when unavailable.
host_effect_country_sport_panel,pre_host_medals,float64,Host country's medals in the sport in the previous observed Games.
host_effect_country_sport_panel,host_year_medals,float64,Host country's medals in the sport in the host Games.
host_effect_country_sport_panel,post_host_medals,float64,Host country's medals in the sport in the next observed Games.
host_effect_country_sport_panel,pre_country_share_in_sport,float64,Host country's sport medal share in the previous observed Games.
host_effect_country_sport_panel,host_country_share_in_sport,float64,Host country's sport medal share in the host Games.
host_effect_country_sport_panel,post_country_share_in_sport,float64,Host country's sport medal share in the next observed Games.
host_effect_country_sport_panel,host_lift_vs_pre,float64,Host-year sport medal lift relative to the previous Games.
host_effect_country_sport_panel,host_lift_vs_post,float64,Host-year sport medal lift relative to the next Games.
host_effect_country_sport_panel,host_lift_vs_baseline,float64,Host-year sport medal lift relative to the average of available pre and post values.
host_effect_country_sport_panel,non_host_peer_change,float64,Average medal change from pre to host year among same-sport non-host medal-winning peers.
host_effect_country_sport_panel,host_lift_vs_peers,float64,Host lift versus pre minus non-host peer change; candidate peer-adjusted host evidence.
host_effect_country_sport_panel,host_effect_strength,object,"Descriptive strength tier for host-effect candidate evidence, not a causal estimate."
host_effect_country_sport_panel,host_effect_interpretation,object,Human-readable before/during/after host-effect candidate interpretation.
host_effect_summary,host_year,int64,Olympic year in which the country hosted the Summer Games.
host_effect_summary,host_country,object,Standardized host country name compatible with country_name where possible.
host_effect_summary,total_medals_pre,float64,Host country's total medals in the previous observed Games.
host_effect_summary,total_medals_host,int64,Host country's total medals in the host Games.
host_effect_summary,total_medals_post,float64,Host country's total medals in the next observed Games.
host_effect_summary,host_total_lift_vs_pre,float64,Host country's total medal lift relative to the previous Games.
host_effect_summary,host_total_lift_vs_baseline,float64,Host country's total medal lift relative to the average of available pre and post values.
host_effect_summary,sports_with_positive_host_lift,int64,Number of host sports with positive lift versus the pre/post baseline.
host_effect_summary,strongest_host_effect_sport,object,Sport with the largest positive host_lift_vs_baseline for the host year.
host_effect_summary,host_effect_confidence,object,Host-year summary confidence tier for candidate host-effect evidence.
host_effect_summary_modern,host_year,int64,Olympic year in which the country hosted the Summer Games.
host_effect_summary_modern,host_country,object,Standardized host country name compatible with country_name where possible.
host_effect_summary_modern,total_medals_pre,float64,Host country's total medals in the previous observed Games.
host_effect_summary_modern,total_medals_host,int64,Host country's total medals in the host Games.
host_effect_summary_modern,total_medals_post,float64,Host country's total medals in the next observed Games.
host_effect_summary_modern,host_total_lift_vs_baseline,float64,Host country's total medal lift relative to the average of available pre and post values.
host_effect_summary_modern,strongest_host_effect_sport,object,Sport with the largest positive host_lift_vs_baseline for the host year.
host_effect_summary_modern,host_effect_confidence,object,Host-year summary confidence tier for candidate host-effect evidence.
host_effect_summary_modern,reporting_note,object,Presentation-safe note explaining how to describe the row in a report or defense.
event_added_removed,year,int64,Olympic year.
event_added_removed,sport,object,Olympic sport.
event_added_removed,event,object,Olympic event.
event_added_removed,sex,object,"Event sex category: men, women, mixed, or unknown."
event_added_removed,change_type,object,"Program change type: added, removed, or restored."
event_added_removed,event_family,object,Cleaned event family after removing sport and sex labels where possible.
event_added_removed,note,object,
event_opportunity_refined,year,int64,Olympic year.
event_opportunity_refined,sport,object,Olympic sport.
event_opportunity_refined,event,object,Olympic event.
event_opportunity_refined,sex,object,"Event sex category: men, women, mixed, or unknown."
event_opportunity_refined,original_change_type,object,Raw adjacent-Games change type from event_added_removed.
event_opportunity_refined,refined_change_type,object,"Refined opportunity change type: true_added, restored, removed, likely_renamed_or_reclassified, or uncertain."
event_opportunity_refined,event_family,object,Cleaned event family after removing sport and sex labels where possible.
event_opportunity_refined,standard_event_family,object,"Conservative normalized event-family string used to flag likely renames, reclassifications or splits."
event_opportunity_refined,true_new_medal_opportunity_flag,int64,1 when the refined rules treat the event as a likely true new medal opportunity.
event_opportunity_refined,restored_event_flag,int64,1 when the event is treated as restored rather than brand-new.
event_opportunity_refined,rename_or_split_likely_flag,int64,"1 when same-transition event-family evidence suggests rename, reclassification or split risk."
event_opportunity_refined,opportunity_delta_vs_prev_games,float64,"Refined opportunity delta versus previous Games: usually +1, 0, -1, or blank when uncertain."
event_opportunity_refined,confidence_level,object,Analyst-facing confidence tier for the candidate mechanism interpretation.
event_opportunity_refined,note,object,
coach_events_template,country_name,object,Standardized country or team display name.
coach_events_template,sport,object,Olympic sport.
coach_events_template,start_year,object,Start year for a manually curated coach event.
coach_events_template,end_year,object,End year for a manually curated coach event; blank if ongoing or unknown.
coach_events_template,coach_name,object,Coach name for manual curation.
coach_events_template,event_type,object,"Coach event type such as appointment, departure, program_change, or tenure."
coach_events_template,evidence_level,object,"Evidence quality marker such as official_source, secondary_source, or unverified."
coach_events_template,source_note,object,Source or evidence note for manually curated or derived fields.
coach_events_template_examples,country_name,object,Standardized country or team display name.
coach_events_template_examples,sport,object,Olympic sport.
coach_events_template_examples,start_year,int64,Start year for a manually curated coach event.
coach_events_template_examples,end_year,object,End year for a manually curated coach event; blank if ongoing or unknown.
coach_events_template_examples,coach_name,object,Coach name for manual curation.
coach_events_template_examples,event_type,object,"Coach event type such as appointment, departure, program_change, or tenure."
coach_events_template_examples,evidence_level,object,"Evidence quality marker such as official_source, secondary_source, or unverified."
coach_events_template_examples,source_note,object,Source or evidence note for manually curated or derived fields.
gender_event_expansion_by_year,year,Int64,Olympic year.
gender_event_expansion_by_year,sport,object,Olympic sport.
gender_event_expansion_by_year,sex_category,object,"Event sex category: men, women, mixed, or open_unknown."
gender_event_expansion_by_year,event_count,int64,Count of unique events in a year-sport-sex category.
gender_event_expansion_by_year,medal_opportunities,int64,Count of deduplicated country-event-medal opportunities in a year-sport-sex category.
gender_event_expansion_by_year,countries_winning_medals,int64,Number of countries winning medals in the category.
country_gender_opportunity_capture,year,Int64,Olympic year.
country_gender_opportunity_capture,noc,object,Olympic NOC code.
country_gender_opportunity_capture,iso3,object,ISO3-like country code used for joining external economic and population data.
country_gender_opportunity_capture,country_name,object,Standardized country or team display name.
country_gender_opportunity_capture,total_medals,int64,Gold + Silver + Bronze medal count after team-event deduplication where applicable.
country_gender_opportunity_capture,female_medals,int64,Medals won in women's events.
country_gender_opportunity_capture,male_medals,int64,Medals won in men's events.
country_gender_opportunity_capture,mixed_medals,int64,Medals won in mixed events.
country_gender_opportunity_capture,open_unknown_medals,int64,Medals won in open or unclassified events.
